,RunNum_EventNum,Rev,Date,Time UT,NoticeType,RA [deg],Dec [deg],Error90 [arcmin],Error50 [arcmin],Energy,Signalness,FAR [#/yr],Comments
0,137932_1791376,1,23/05/11,18:03:50.10,BRONZE,17.05,37.0799,207.59,121.79,167.46,0.54588,0.4941,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
2,137910_29871391,1,23/05/06,15:53:45.93,GOLD,50.1899,21.0599,187.2,108.6,211.25,0.64254,0.7577,"IceCube Gold event. The position error is statistical only, there is no systematic added."
4,137840_57034692,1,23/04/16,05:22:26.15,BRONZE,345.85,9.14,52.64,29.24,127.29,0.34064,2.5322,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
6,137806_8756840,1,23/04/05,13:20:20.04,BRONZE,120.8499,9.75,178.2,102.3,110.43,0.29923,2.8353,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
8,137794_38132005,1,23/04/01,16:14:18.90,BRONZE,8.1699,1.9399,173.4,98.39,110.79,0.27409,4.1124,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
10,137711_79205800,1,23/03/06,10:59:30.41,GOLD,72.8599,34.2299,52.19,29.39,174.62,0.56416,0.7101,"IceCube Gold event. The position error is statistical only, there is no systematic added."
12,137668_51133257,0,23/02/20,07:39:10.83,BRONZE,359.3311,3.3491,30.8,12.0,151.77,0.364,2.5206,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
13,137661_22129736,1,23/02/17,20:49:43.37,BRONZE,124.54,20.7399,143.4,85.19,54.853,0.45373,1.8772,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
15,137603_30799022,1,23/02/01,06:20:54.42,BRONZE,345.41,12.0999,130.8,73.79,120.98,0.3477,2.0701,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
17,137571_16496893,1,23/01/22,03:50:02.00,BRONZE,16.7899,7.78,186.59,105.0,107.65,0.27309,3.6241,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
19,137537_52990531,1,23/01/12,06:44:50.60,BRONZE,24.35,0.9,75.6,35.99,111.22,0.28432,4.0476,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
21,137487_35344578,1,22/12/29,07:25:27.88,GOLD,31.8999,4.1799,82.2,46.2,205.31,0.54438,1.0141,"IceCube Gold event. The position error is statistical only, there is no systematic added."
23,137469_77414913,1,22/12/24,00:55:09.29,BRONZE,335.74,1.4199,32.81,17.6,110.61,0.27823,4.1153,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
25,137467_64735045,0,22/12/23,07:43:00.52,GOLD,350.5486,34.711,39.58,15.41,352.7,0.79488,0.2464,"IceCube Gold event. The position error is statistical only, there is no systematic added."
26,137390_43495485,1,22/12/16,06:00:14.01,BRONZE,6.86,10.4299,86.39,52.19,155.63,0.41457,1.5922,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
28,137350_7930341,1,22/12/10,08:35:11.23,BRONZE,332.5799,22.75,508.2,323.39,164.66,0.50781,0.9539,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
30,137296_24212476,1,22/11/24,15:46:02.26,BRONZE,298.93,3.7299,117.59,68.99,143.65,0.34978,2.7945,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
32,137217_75180896,1,22/11/04,06:10:08.18,BRONZE,209.62,15.0899,48.6,28.79,108.59,0.31652,2.6315,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
