Source,J2000 Name,Date,MJD,Fit Coeff.,Log Fit,Defect,Frequency [GHz],Flux Density [Jy],Flux Density Error [Jy],Spectral Index,Closure Phase
j1010-3119,1010-3119,2015-Aug-12,57246.0,"-1.040E-01,-1.020E+00",Y,689.7%,38.0,0.019,0.008,-1.02,-3.5° ± 93.5°
j1010-3119,1010-3119,2015-Aug-12,57246.0,"-1.040E-01,-1.020E+00",Y,689.7%,40.0,0.018,0.008,-1.02,-2° ± 100°
j1010-3119,1010-3119,2015-Jun-29,57202.0,"6.685E-02,-1.102E+00",Y,750.9%,38.0,0.021,0.01,-1.102,-0.8° ± 98.8°
j1010-3119,1010-3119,2015-Jun-29,57202.0,"6.685E-02,-1.102E+00",Y,750.9%,40.0,0.02,0.01,-1.102,1.5° ± 95.7°
j1010-3119,1010-3119,2015-May-03,57145.0,"-2.294E+00,3.195E-01",Y,960.6%,38.0,0.016,0.011,0.32,1.7° ± 104.4°
j1010-3119,1010-3119,2015-May-03,57145.0,"-2.294E+00,3.195E-01",Y,960.6%,40.0,0.017,0.011,0.32,10.4° ± 99.7°
j1010-3119,1010-3119,2015-Feb-08,57061.0,"8.094E-01,-1.599E+00",Y,765.7%,38.0,0.019,0.01,-1.599,3.3° ± 95.2°
j1010-3119,1010-3119,2015-Feb-08,57061.0,"8.094E-01,-1.599E+00",Y,765.7%,40.0,0.018,0.01,-1.599,-20.1° ± 105.4°
j1010-3119,1010-3119,2014-Dec-16,57007.0,"-4.093E-01,-7.741E-01",Y,747.6%,38.0,0.023,0.011,-0.774,-6.2° ± 102.4°
j1010-3119,1010-3119,2014-Dec-16,57007.0,"-4.093E-01,-7.741E-01",Y,747.6%,40.0,0.022,0.011,-0.774,2.6° ± 104°
j1010-3119,1010-3119,2023-Jan-03,59947.0,"-1.141E+00,-2.463E-01",Y,1072.2%,16.7,0.036,0.023,-0.246,3.8° ± 83.5°
j1010-3119,1010-3119,2023-Jan-03,59947.0,"-1.141E+00,-2.463E-01",Y,1072.2%,21.2,0.034,0.023,-0.246,2.6° ± 102.5°
j1010-3119,1010-3119,2022-May-28,59727.0,"-3.973E-01,-8.543E-01",Y,389.5%,16.7,0.036,0.01,-0.854,-1.4° ± 62.4°
j1010-3119,1010-3119,2022-May-28,59727.0,"-3.973E-01,-8.543E-01",Y,389.5%,21.2,0.029,0.01,-0.854,-10.1° ± 99.3°
j1010-3119,1010-3119,2020-Jul-18,59048.0,"-9.103E-01,-4.950E-01",Y,314.9%,16.7,0.031,0.006,-0.495,-1° ± 57.2°
j1010-3119,1010-3119,2020-Jul-18,59048.0,"-9.103E-01,-4.950E-01",Y,314.9%,21.2,0.027,0.006,-0.495,-13° ± 90.8°
j1010-3119,1010-3119,2016-Jul-25,57594.0,"-1.063E+00,-4.233E-01",Y,266.5%,17.0,0.026,0.007,-0.423,-1.1° ± 70.3°
j1010-3119,1010-3119,2016-Jul-25,57594.0,"-1.063E+00,-4.233E-01",Y,266.5%,19.0,0.025,0.007,-0.423,3.2° ± 80.8°
j1010-3119,1010-3119,2016-May-27,57535.0,"-9.013E-01,-4.879E-01",Y,234.5%,17.0,0.032,0.006,-0.488,-1.8° ± 52.6°
j1010-3119,1010-3119,2016-May-27,57535.0,"-9.013E-01,-4.879E-01",Y,234.5%,19.0,0.03,0.006,-0.488,-1.4° ± 64.9°
j1010-3119,1010-3119,2016-May-02,57510.0,"-9.589E-01,-4.892E-01",Y,342.3%,17.0,0.027,0.007,-0.489,-2.2° ± 73.5°
j1010-3119,1010-3119,2016-May-02,57510.0,"-9.589E-01,-4.892E-01",Y,342.3%,19.0,0.026,0.007,-0.489,-0.5° ± 93.4°
j1010-3119,1010-3119,2015-Feb-08,57061.0,"-9.570E-01,-4.772E-01",Y,289.3%,17.0,0.029,0.007,-0.477,1.8° ± 68.8°
j1010-3119,1010-3119,2015-Feb-08,57061.0,"-9.570E-01,-4.772E-01",Y,289.3%,19.0,0.027,0.007,-0.477,-13.1° ± 88.9°
j1010-3119,1010-3119,2014-Dec-16,57007.0,"-1.061E+00,-3.966E-01",Y,370.2%,17.0,0.028,0.008,-0.397,4.2° ± 83.1°
j1010-3119,1010-3119,2014-Dec-16,57007.0,"-1.061E+00,-3.966E-01",Y,370.2%,19.0,0.027,0.008,-0.397,-1.7° ± 91°
j1010-3119,1010-3119,2014-Sep-13,56913.0,"-8.103E-01,-5.746E-01",Y,314.5%,17.0,0.03,0.007,-0.575,1.1° ± 78.6°
j1010-3119,1010-3119,2014-Sep-13,56913.0,"-8.103E-01,-5.746E-01",Y,314.5%,19.0,0.029,0.007,-0.575,-2.4° ± 88.3°
j1010-3119,1010-3119,2014-Apr-22,56769.0,"-1.015E+00,-3.738E-01",Y,244.6%,17.0,0.034,0.006,-0.374,-0.2° ± 48.6°
j1010-3119,1010-3119,2014-Apr-22,56769.0,"-1.015E+00,-3.738E-01",Y,244.6%,19.0,0.032,0.006,-0.374,2.6° ± 73.7°
j1010-3119,1010-3119,2014-Apr-07,56754.0,"-7.478E-01,-5.475E-01",Y,313.8%,17.0,0.038,0.005,-0.547,-4.4° ± 70.9°
j1010-3119,1010-3119,2014-Apr-07,56754.0,"-7.478E-01,-5.475E-01",Y,313.8%,19.0,0.036,0.005,-0.547,5° ± 85°
j1010-3119,1010-3119,2023-Jan-03,59947.0,"-6.583E-01,-1.951E+00,1.311E+00",Y,74.7%,5.5,0.041,0.004,-0.01,0.5° ± 11.6°
j1010-3119,1010-3119,2023-Jan-03,59947.0,"-6.583E-01,-1.951E+00,1.311E+00",Y,74.7%,9.0,0.047,0.004,0.551,0.6° ± 5.4°
j1010-3119,1010-3119,2022-Jul-17,59777.0,"-1.746E+00,9.471E-01,-5.934E-01",Y,86.4%,5.5,0.043,0.004,0.068,2.4° ± 10.4°
j1010-3119,1010-3119,2022-Jul-17,59777.0,"-1.746E+00,9.471E-01,-5.934E-01",Y,86.4%,9.0,0.041,0.004,-0.185,1° ± 7.9°
j1010-3119,1010-3119,2022-May-28,59727.0,"-1.786E+00,1.408E+00,-9.966E-01",Y,79.3%,5.5,0.051,0.005,-0.068,-1.8° ± 9.8°
j1010-3119,1010-3119,2022-May-28,59727.0,"-1.786E+00,1.408E+00,-9.966E-01",Y,79.3%,9.0,0.045,0.005,-0.494,-0.1° ± 7.8°
j1010-3119,1010-3119,2022-May-13,59712.0,"-1.089E+00,-5.595E-01,2.526E-01",Y,183.5%,5.5,0.043,0.009,-0.185,2.5° ± 50.3°
j1010-3119,1010-3119,2022-May-13,59712.0,"-1.089E+00,-5.595E-01,2.526E-01",Y,183.5%,9.0,0.04,0.009,-0.077,3.1° ± 38.9°
j1010-3119,1010-3119,2022-Apr-22,59691.0,"-1.715E+00,1.018E+00,-6.979E-01",Y,104.4%,5.5,0.045,0.005,-0.015,1° ± 15.3°
j1010-3119,1010-3119,2022-Apr-22,59691.0,"-1.715E+00,1.018E+00,-6.979E-01",Y,104.4%,9.0,0.042,0.005,-0.314,0.7° ± 10.8°
j1010-3119,1010-3119,2022-Mar-01,59639.0,"-1.740E+00,8.757E-01,-6.239E-01",Y,122.2%,5.5,0.037,0.005,-0.048,1.6° ± 28.1°
j1010-3119,1010-3119,2022-Mar-01,59639.0,"-1.740E+00,8.757E-01,-6.239E-01",Y,122.2%,9.0,0.034,0.005,-0.315,1.4° ± 11.6°
j1010-3119,1010-3119,2021-Oct-23,59510.0,"-1.285E+00,8.056E-02,-2.076E-01",Y,81.2%,5.5,0.046,0.004,-0.227,0° ± 9.6°
j1010-3119,1010-3119,2021-Oct-23,59510.0,"-1.285E+00,8.056E-02,-2.076E-01",Y,81.2%,9.0,0.04,0.004,-0.316,0.9° ± 8.7°
j1010-3119,1010-3119,2021-Oct-06,59493.0,"-1.168E+00,-4.668E-01,2.354E-01",Y,96.7%,9.0,0.04,0.004,-0.018,0.4° ± 8.8°
j1010-3119,1010-3119,2021-Oct-06,59493.0,"-1.168E+00,-4.668E-01,2.354E-01",Y,96.7%,5.5,0.041,0.004,-0.118,1.3° ± 18.4°
j1010-3119,1010-3119,2021-Feb-07,59252.0,"-1.224E+00,-1.161E-01,-1.154E-01",Y,90.7%,5.5,0.042,0.005,-0.287,3.8° ± 12.7°
j1010-3119,1010-3119,2021-Feb-07,59252.0,"-1.224E+00,-1.161E-01,-1.154E-01",Y,90.7%,9.0,0.036,0.005,-0.336,0.9° ± 10.3°
j1010-3119,1010-3119,2021-Jan-30,59244.0,"-1.300E+00,1.837E-02,-9.114E-02",Y,76.5%,5.5,0.046,0.004,-0.117,2.9° ± 12.4°
j1010-3119,1010-3119,2021-Jan-30,59244.0,"-1.300E+00,1.837E-02,-9.114E-02",Y,76.5%,9.0,0.043,0.004,-0.156,1.1° ± 7°
j1010-3119,1010-3119,2020-Dec-19,59202.0,"-1.393E+00,1.365E-01,-1.715E-01",Y,91.4%,5.5,0.041,0.004,-0.117,0.3° ± 9.7°
j1010-3119,1010-3119,2020-Dec-19,59202.0,"-1.393E+00,1.365E-01,-1.715E-01",Y,91.4%,9.0,0.038,0.004,-0.191,1.2° ± 10.2°
j1010-3119,1010-3119,2020-Dec-03,59186.0,"-1.595E+00,6.378E-01,-4.469E-01",Y,88.8%,5.5,0.043,0.005,-0.024,1.4° ± 16.2°
j1010-3119,1010-3119,2020-Dec-03,59186.0,"-1.595E+00,6.378E-01,-4.469E-01",Y,88.8%,9.0,0.04,0.005,-0.215,0.1° ± 7.7°
j1010-3119,1010-3119,2020-Nov-11,59164.0,"-1.371E+00,-1.561E-01,1.160E-01",Y,124.3%,5.5,0.038,0.005,0.016,2.1° ± 21.7°
j1010-3119,1010-3119,2020-Nov-11,59164.0,"-1.371E+00,-1.561E-01,1.160E-01",Y,124.3%,9.0,0.039,0.005,0.065,0.1° ± 12.2°
j1010-3119,1010-3119,2020-Jun-02,59002.0,"-1.864E+00,1.361E+00,-9.907E-01",Y,150.8%,9.0,0.034,0.004,-0.53,1° ± 29.3°
j1010-3119,1010-3119,2020-Jun-02,59002.0,"-1.864E+00,1.361E+00,-9.907E-01",Y,150.8%,5.5,0.04,0.004,-0.106,0° ± 23.3°
j1010-3119,1010-3119,2020-May-14,58983.0,"-1.529E+00,2.828E-01,-2.221E-01",Y,167.2%,5.5,0.036,0.005,-0.046,4.4° ± 48.5°
j1010-3119,1010-3119,2020-May-14,58983.0,"-1.529E+00,2.828E-01,-2.221E-01",Y,167.2%,9.0,0.035,0.005,-0.141,1.4° ± 24.1°
j1010-3119,1010-3119,2020-Mar-26,58934.0,"-1.563E+00,5.565E-01,-4.399E-01",Y,94.4%,5.5,0.041,0.003,-0.095,-1.3° ± 12.2°
j1010-3119,1010-3119,2020-Mar-26,58934.0,"-1.563E+00,5.565E-01,-4.399E-01",Y,94.4%,9.0,0.037,0.003,-0.283,-1.4° ± 10.6°
j1010-3119,1010-3119,2020-Mar-15,58923.0,"-1.727E+00,6.504E-01,-3.885E-01",Y,106.5%,5.5,0.035,0.003,0.075,0° ± 16.3°
j1010-3119,1010-3119,2020-Mar-15,58923.0,"-1.727E+00,6.504E-01,-3.885E-01",Y,106.5%,9.0,0.035,0.003,-0.091,0.2° ± 10.9°
