Source,Date,MJD,Fit Coeff.,Log Fit,Defect,Frequency [GHz],Flux Density [Jy],Flux Density Error [Jy],Spectral Index,Closure Phase
1749-101,2022-Dec-09,59922.0,"5.192E-01,-9.406E-01",Y,189.7%,38.0,0.108,0.019,-0.941,0.8° ± 28.2°
1749-101,2022-Dec-09,59922.0,"5.192E-01,-9.406E-01",Y,189.7%,40.0,0.103,0.019,-0.941,3.8° ± 47.5°
1749-101,2022-Nov-20,59903.0,"-1.766E-01,-4.398E-01",Y,96.9%,38.0,0.134,0.015,-0.44,2.9° ± 11.8°
1749-101,2022-Nov-20,59903.0,"-1.766E-01,-4.398E-01",Y,96.9%,40.0,0.131,0.015,-0.44,2.9° ± 21.9°
1749-101,2022-Oct-14,59866.0,"-2.410E-01,-3.743E-01",Y,50.3%,38.0,0.147,0.01,-0.374,0.1° ± 4°
1749-101,2022-Oct-14,59866.0,"-2.410E-01,-3.743E-01",Y,50.3%,40.0,0.144,0.01,-0.374,-0.2° ± 5.2°
1749-101,2022-Oct-08,59860.0,"7.442E-01,-9.958E-01",Y,90.2%,38.0,0.148,0.013,-0.996,1.9° ± 7.6°
1749-101,2022-Oct-08,59860.0,"7.442E-01,-9.958E-01",Y,90.2%,40.0,0.141,0.013,-0.996,2.7° ± 12.9°
1749-101,2023-Jan-03,59947.0,"-7.688E-01,-4.056E-03",Y,51.8%,16.7,0.168,0.013,-0.004,3.2° ± 4.1°
1749-101,2023-Jan-03,59947.0,"-7.688E-01,-4.056E-03",Y,51.8%,21.2,0.168,0.013,-0.004,3° ± 10.8°
1749-101,2022-Dec-09,59922.0,"-3.202E-01,-2.881E-01,-7.537E-02",Y,6.1%,5.5,0.266,0.004,-0.4,2.7° ± 3.3°
1749-101,2022-Dec-09,59922.0,"-3.202E-01,-2.881E-01,-7.537E-02",Y,6.1%,9.0,0.217,0.004,-0.432,3.3° ± 4°
