IC Name,GCN_nr,Date,Time (UTC),RA,Ra_err_plus,Ra_err_minus,Dec,Dec_err_plus,Dec_err_minus,GCN_link
230122A,33204,2023-01-22,03:50:02.00,16.79,3.17,-2.56,7.78,3.44,-3.26,"=HYPERLINK(""https://gcn.gsfc.nasa.gov/gcn3/33204.gcn3"",""GCN link"")"
230112A,33161,2023-01-12,06:44:50.60,24.35,1.43,-1.71,0.9,0.63,-1.26,"=HYPERLINK(""https://gcn.gsfc.nasa.gov/gcn3/33161.gcn3"",""GCN link"")"
221229A,33122,2022-12-29,07:25:27.88,31.9,1.68,-1.55,4.18,1.39,-0.84,"=HYPERLINK(""https://gcn.gsfc.nasa.gov/gcn3/33122.gcn3"",""GCN link"")"
221224A,33097,2022-12-24,00:55:09.3,335.74,1.01,-0.72,1.42,0.41,-0.3,"=HYPERLINK(""https://gcn.gsfc.nasa.gov/gcn3/33097.gcn3"",""GCN link"")"
221223A,33094,2022-12-23,07:43:00.52,350.54,0.67,-0.67,34.71,0.67,-0.67,"=HYPERLINK(""https://gcn.gsfc.nasa.gov/gcn3/33094.gcn3"",""GCN link"")"
221216A,33065,22-12-16,06:00:14.01,6.86,1.08,-2.06,10.43,1.54,-1.07,"=HYPERLINK(""https://gcn.gsfc.nasa.gov/gcn3/33065.gcn3"",""GCN link"")"
221210A,33040,22-12-10,08:35:11.23,332.58,9.84,-11.77,22.75,8.15,-4.13,"=HYPERLINK(""https://gcn.gsfc.nasa.gov/gcn3/33040.gcn3"",""GCN link"")"
221124A,32980,22-11-24,15:46:02.26,298.92,2.65,-2.92,3.73,1.04,-1.23,"=HYPERLINK(""https://gcn.gsfc.nasa.gov/gcn3/32980.gcn3"",""GCN link"")"
221104A,32909,2022-11-04,06:10:08.18,209.62,0.74,-0.92,15.09,0.79,-0.8,GCN link
220928A,32599,2022-09-28,12:32:38.30,207.42,1.41,-2.52,10.43,0.98,-0.98,GCN link
220918A,32562,2022-09-18,12:46:05.32,75.15,3.79,-3.38,3.58,3.7,-3.4,GCN link
220907A,32523,2022-09-07,06:46:47.52,224.81,2.07,-1.95,44.7,0.94,-1.06,GCN link
220822A,32475,2022-08-22,20:26:30.03,273.08,2.47,-2.5,21.54,0.94,-1.18,GCN link
220629A,32299,2022-06-29,23:51:31.69,163.92,0.8,-0.67,4.33,0.51,-0.34,GCN link
220627A,32277,2022-06-27,17:51:54.28,165.59,2.83,-5.61,5.3,1.76,-1.33,GCN link
220624A,32260,2022-06-24,16:13:16.41,224.12,2.23,-1.95,41.31,1.56,-1.56,GCN link
220524A,32102,2022-05-24,07:41:32.185,47.2,4.21,-2.51,-3.28,0.77,-0.89,GCN link
220513A,32037,2022-05-13,23:23:12.61,224.03,1.36,-1.27,-1.34,0.74,-0.81,GCN link
220509A,32013,2022-05-09,18:19:04.12,334.25,2.01,-1.44,5.38,1.63,-1.65,GCN link
220501A,31986,2022-05-01,22:50:58.64,311.57,0.82,-1.07,18.68,1.08,-0.92,GCN link
220425A,31944,2022-04-25,02:44:57.82,268.24,1.98,-1.66,-10.73,1.71,-1.48,GCN link
220424A,31942,2022-04-24,01:06:24.06,346.11,1.26,-1.33,8.91,0.95,-1.01,GCN link
220421A,31931,2022-04-21,05:20:18.26,113.64,3.17,-2.74,5.83,2.18,-1.69,GCN link
220405A,31839,2022-04-05,22:20:03.41,320.62,1.37,-1.13,29.06,0.94,-0.68,GCN link
220405A,31833,2022-04-05,04:57:26.12,134.47,1.71,-1.72,-1.27,1.45,-1.02,GCN link
220317A,31762,2022-03-17,02:32:17.68,155.74,2.23,-1.74,11.19,1.0,-1.39,GCN link
220306A,31692,2022-03-06,03:46:37.06,314.82,0.54,-0.52,8.61,0.47,-0.55,GCN link
220304A,31679,2022-03-04,17:44:12.21,48.78,7.68,-6.24,4.48,5.91,-4.96,GCN link
220303A,31670,2022-03-03,18:00:07.62,267.8,1.5,-1.17,11.42,0.89,-1.14,GCN link
220225A,31650,2022-02-25,14:12:00.7,34.7,3.1,-2.6,0.0,1.8,-1.5,GCN link
